Det	N0	Verb	Det	N1	Prep	Det	Adj	N2	condition	pair_number	ID	Attachment	verb_number	Question	Answer										
Die	Fotografen	erweitern	eine	Kamera	mit	dem	wertigen	Objektiv.	1	29	129	VA	78												
Die	Kaiserin	verehrt	das	Geschöpf	mit	den	feinen	Händen.	1	116	1116	NA	150												
Die	Politikerin	bezahlt	den	Taxifahrer	mit	der	dreisten	Art.	1	72	172	NA	49												
Der	Mächtige	suchte	früher	selbst	den	Rat	des	Ältesten.	3	73	373	NaN	0												
Das	jährliche	Einkommen	beträgt	im	Schnitt	zwanzig	Tausend	Dollar.	3	58	358	NaN	0												
Die	beste	Mannschaft	erhielt	einen	Pokal	aber	kein	Preisgeld.	3	36	336	NaN	0												
Der	Roman	behandelt	die	Rivalität	zwischen	den	zwei	Brüdern.	3	40	340	NaN	0												
Der	vergessene	Dichter	der	den	Leser	fürchtet	ist	verzweifelt.	3	20	320	NaN	0	Wer ist verzweifelt?	Dichter/Leser										
Der	Küchenchef	füllt	den	Topf	mit	der	gestrigen	Suppe.	1	49	149	VA	83												
Die	Kuh	bedroht	die	Wilde	mit	der	brennenden	Fackel.	2	70	270	NA	13												
Der	Greis	beklagte	sich	und	befahl	ohne	zu	Zögern.	3	71	371	NaN	0												
Der	Mechaniker	erzürnt	den	Eigentümer	mit	dem	schmutzigen	Werkzeug.	2	101	2101	VA	81												
Der	Maler	begutachtet	die	Wand	mit	der	frischen	Farbe.	1	111	1111	NA	18												
Der	Knecht	empfängt	den	König	mit	seinem	prächtigen	Zepter.	2	83	283	NA	59												
Die	Nichte	meidet	die	Patentante	mit	der	riesigen	Torte.	1	63	163	NA	113												
Der	Basilikum	auf	dem	Esstisch	musste	häufig	gegossen	werden.	3	78	378	NaN	0												
Die	Mücke	quält	die	Urlauberin	mit	dem	aggressiven	Mückenspray.	2	102	2102	NA	120												
Die	saftigen	Mangos	wurden	bei	Bedarf	zu	Mus	püriert.	3	79	379	NaN	0												
Das	Buch	ist	nur	im	Fachhandel	oder	online	verfügbar.	3	56	356	NaN	0												
Der	Doktor	grüßt	den	Patient	mit	dem	brandneuen	Stethoskop.	2	12	212	VA	91	Wer hat das Stethoskop?	Doktor/Patient										
Die	Gärtnerin	kennt	die	Dame	mit	den	weißen	Rosen.	1	31	131	NA	102	Wer hat die weißen Rosen?	Dame/Gärtnerin										
Der	Staubsauger	macht	einen	riesigen	Lärm	in	der	Stube.	3	86	386	NaN	0												
Die	besten	Läden	befinden	sich	in	der	oberen	Etage.	3	67	367	NaN	0												
Die	Investoren	suchen	die	Betriebe	mit	einigen	fleißigen	Tagelöhnern.	1	39	139	NA	137	Wer hat fleißige Tageslöhner?	Betriebe/Investoren										
Die	Obsthändler	bedrängen	die	Mütter	mit	den	sperrigen	Kinderwägen.	2	28	228	NA	12												
Die	alten	römischen	Inschriften	kamen	später	noch	ans	Tageslicht.	3	48	348	NaN	0												
Der	Prüfer	sperrt	die	Zone	mit	dem	rot-weißen	Absperrband.	1	77	177	VA	134												
Der	Reiter	überholt	den	Biker	mit	dem	schweren	Motorrad.	2	27	227	NA	3	Wer wird überholt?	Biker/Reiter										
Der	Kurier	ohrfeigt	den	Butler	mit	dem	silbernen	Tablett.	2	65	265	NA	117	Wer wird geohrfeigt?	Butler/Kurier										
Der	Sekretär	zeigt	das	Protokoll	mit	der	schönen	Handschrift.	1	84	184	NA	190												
Die	Greisin	lauscht	der	Erzählerin	mit	dem	piepsenden	Hörgerät.	2	42	242	VA	106												
Das	Militär	vertreibt	das	Volk	mit	den	grässlichen	Waffen.	2	91	291	VA	176												
Die	Freunde	lästern	hinter	dem	Rücken	des	jüngeren	Kollegen.	3	22	322	NaN	0	Wer lästert?	Freunde/Kollege										
Der	Kellner	füllt	die	Tasse	mit	dem	heißen	Kaffee.	1	42	142	VA	83												
Der	Unternehmer	bevorzugt	den	Geldanleger	mit	den	klugen	Sprüchen.	1	105	1105	NA	47												
Der	Kandidat	wählt	die	Kandidatin	mit	einem	strahlenden	Lächeln.	1	128	1128	NA	182												
Der	Liebhaber	betrügt	seine	Geliebte	ohne	ein	schlechtes	Gewissen.	3	26	326	NaN	0	Wer wird betrogen?	Geliebte/Liebhaber										
Die	Diebin	rettet	ihren	Komplizen	mit	der	einzigen	Pistole.	1	23	123	VA	124	Wer hat die Pistole?	Diebin/Komplize										
Der	übermütige	Kletterer	kam	bei	der	Besteigung	ums	Leben.	3	68	368	NaN	0												
Der	Sänger	begleitet	den	Violinist	mit	seiner	kostbaren	Violine.	2	82	282	NA	21												
Die	Pflegerin	beschenkt	eine	Seniorin	mit	ganz	viel	Liebe.	1	69	169	VA	37												
Der	Roboter	bedient	Geräte	und	macht	die	Leute	klar.	3	17	317	NaN	0	Wen bedient der Roboter?	Geräte/Leute										
Der	Mieter	erwartet	den	Klempner	mit	der	dreckigen	Rohrzange.	2	14	214	NA	77	Wer hat die Rohrzange?	Klempner/Mieter										
Die	Schwangere	verblüfft	die	Hebamme	mit	ihrer	jahrelangen	Erfahrung.	2	89	289	NA	148	Wer hat die jahrelange Erfahrung?	Hebamme/Schwangere										
Der	Schamane	begutachtet	die	Maske	mit	der	braunen	Kreide.	1	112	1112	NA	18												
Das	blonde	und	talentierte	Model	gab	mir	einen	Tipp.	3	83	383	NaN	0												
Das	Unkraut	im	Garten	wird	durch	giftige	Stoffe	bekämpft.	3	46	346	NaN	0												
Der	Spion	findet	das	Notizbuch	mit	einer	wertvollen	Information.	1	86	186	NA	86												
Die	Investoren	besetzen	die	Betriebe	mit	einigen	fleißigen	Tagelöhnern.	1	39	139	VA	40												
Die	Cousine	erneuert	die	Reifen	mit	dem	feinen	Flickzeug.	1	19	119	VA	69												
Die	Kundin	bezahlt	die	Kellnerin	mit	den	unhöflichen	Manieren.	1	51	151	NA	49												
Der	Chor	animiert	den	Pensionär	mit	seinem	alten	Krückstock.	2	81	281	NA	8												
Der	Sänger	winkt	dem	Fan	mit	der	akustischen	Gitarre.	2	21	221	VA	188	Wem wird gewunken?	Fan/Sänger										
